country,year,site_id,landscape_type,transect,period,round,pollinator_group,pollinator_genus,pollinator_species,pollinator_species.1,plant_genus,plant_species
Germany,2011,1,low,1,after,4,other wild bee,Lasioglossum,interruptum,interruptum,Anthericum,liliago
Germany,2011,1,low,2,after,4,other wild bee,Halictus,simplex,simplex,Bupleurum,falcatum
Germany,2011,1,low,1,after,4,other wild bee,Halictus,simplex,simplex,Centaurea,scabiosa
Germany,2011,1,low,2,after,4,Bumblebee,Bombus,pratorum,pratorum,Centaurea,scabiosa
Germany,2011,1,low,2,after,4,Bumblebee,Bombus,lapidarius,lapidarius,Centaurea,scabiosa
Germany,2011,1,low,2,after,4,Bumblebee,Bombus,lapidarius,lapidarius,Centaurea,scabiosa
Germany,2011,1,low,2,after,4,Bumblebee,Bombus,terrestris,terrestris,Centaurea,scabiosa
Germany,2011,1,low,2,after,4,Bumblebee,Bombus,lapidarius,lapidarius,Centaurea,scabiosa
Germany,2011,1,low,2,after,3,Bumblebee,Bombus,lapidarius,lapidarius,Geranium,sanguineum
Germany,2011,1,low,1,after,3,Honeybee,Apis,mellifera,mellifera,Helianthemum,nummularium
Germany,2011,1,low,1,after,3,Honeybee,Apis,mellifera,mellifera,Helianthemum,nummularium
Germany,2011,1,low,1,after,3,Hoverfly,Merodon,spec,spec,Helianthemum,nummularium
Germany,2011,1,low,1,after,3,Bumblebee,Bombus,lapidarius,lapidarius,Hippocrepis,comosa
Germany,2011,1,low,1,after,3,Bumblebee,Bombus,lapidarius,lapidarius,Hippocrepis,comosa
Germany,2011,1,low,1,after,3,other wild bee,Trachusa,byssinum,byssinum,Hippocrepis,comosa
Germany,2011,1,low,1,after,4,Bumblebee,Bombus,pratorum,pratorum,Lamiaceae,sp.
Germany,2011,1,low,1,after,4,Bumblebee,Bombus,terrestris,terrestris,Lamiaceae,sp.
Germany,2011,1,low,1,after,4,other wild bee,Halictus,simplex,simplex,Lamiaceae,sp.
Germany,2011,1,low,2,after,4,other wild bee,Megachile,ericetorum,ericetorum,Lathyrus,latifolius
Germany,2011,1,low,2,after,4,Bumblebee,Bombus,terrestris,terrestris,Origanum,vulgare
Germany,2011,1,low,2,after,4,Bumblebee,Bombus,terrestris,terrestris,Origanum,vulgare
Germany,2011,1,low,2,after,4,Bumblebee,Bombus,lapidarius,lapidarius,Origanum,vulgare
Germany,2011,1,low,2,after,4,Bumblebee,Bombus,terrestris,terrestris,Origanum,vulgare
Germany,2011,1,low,2,after,4,Bumblebee,Bombus,terrestris,terrestris,Origanum,vulgare
Germany,2011,1,low,2,after,4,Honeybee,Apis,mellifera,mellifera,Origanum,vulgare
Germany,2011,1,low,2,after,4,Honeybee,Apis,mellifera,mellifera,Origanum,vulgare
Germany,2011,1,low,2,after,4,Honeybee,Apis,mellifera,mellifera,Origanum,vulgare
Germany,2011,1,low,2,after,4,Honeybee,Apis,mellifera,mellifera,Origanum,vulgare
Germany,2011,1,low,2,after,4,other wild bee,Halictus,simplex,simplex,Origanum,vulgare
Germany,2011,1,low,2,after,4,other wild bee,Halictus,simplex,simplex,Origanum,vulgare
Germany,2011,1,low,2,after,4,other wild bee,Halictus,simplex,simplex,Origanum,vulgare
Germany,2011,1,low,2,after,4,other wild bee,Heriades,truncorum,truncorum,Origanum,vulgare
Germany,2011,1,low,2,after,4,other wild bee,Lasioglossum,laticeps,laticeps,Origanum,vulgare
Germany,2011,1,low,2,after,4,other wild bee,Trachusa,byssinum,byssinum,Origanum,vulgare
Germany,2011,1,low,2,after,4,other wild bee,Halictus,simplex,simplex,Origanum,vulgare
Germany,2011,1,low,2,after,4,other wild bee,Halictus,simplex,simplex,Origanum,vulgare
Germany,2011,1,low,2,after,4,other wild bee,Halictus,simplex,simplex,Origanum,vulgare
Germany,2011,1,low,2,after,4,other wild bee,Halictus,simplex,simplex,Origanum,vulgare
Germany,2011,1,low,2,after,4,other wild bee,Halictus,simplex,simplex,Origanum,vulgare
Germany,2011,1,low,2,after,4,other wild bee,Halictus,simplex,simplex,Origanum,vulgare
Germany,2011,1,low,1,after,4,other wild bee,Lasioglossum,pauxillum,pauxillum,Sedum ,acre
Germany,2011,1,low,1,after,3,Bumblebee,Bombus,lapidarius,lapidarius,Stachys,recta
Germany,2011,1,low,2,after,3,Bumblebee,Bombus,sylvarum,sylvarum,Stachys,recta
Germany,2011,1,low,2,after,3,Bumblebee,Bombus,sylvarum,sylvarum,Stachys,recta
Germany,2011,1,low,2,after,3,Bumblebee,Bombus,sylvarum,sylvarum,Stachys,recta
Germany,2011,1,low,2,after,3,Bumblebee,Bombus,sylvarum,sylvarum,Stachys,recta
Germany,2011,1,low,2,after,4,Bumblebee,Bombus,sylvarum,sylvarum,Stachys,recta
Germany,2011,1,low,2,after,4,Bumblebee,Bombus,lapidarius,lapidarius,Teucrium,chamaedrys
Germany,2011,1,low,2,after,4,Bumblebee,Bombus,pascuorum,pascuorum,Teucrium,chamaedrys
Germany,2011,1,low,1,after,4,Bumblebee,Bombus,terrestris,terrestris,Thymus,praecox
Germany,2011,1,low,1,after,4,Bumblebee,Bombus,pratorum,pratorum,Thymus,praecox
Germany,2011,1,low,1,after,4,Honeybee,Apis,mellifera,mellifera,Thymus,praecox
Germany,2011,1,low,1,after,4,other wild bee,Halictus,simplex,simplex,Thymus,praecox
Germany,2011,1,low,1,during,1,Hoverfly,Sphaerophoria,scripta,scripta,Euphorbia,cyparissias
Germany,2011,1,low,2,during,1,other wild bee,Osmia,bicolor,bicolor,Fragaria,viridis
Germany,2011,1,low,2,during,1,other wild bee,Osmia,bicolor,bicolor,Fragaria,viridis
Germany,2011,1,low,1,during,2,Honeybee,Apis,mellifera,mellifera,Hippocrepis,comosa
Germany,2011,1,low,1,during,2,Honeybee,Apis,mellifera,mellifera,Hippocrepis,comosa
Germany,2011,1,low,2,during,2,Bumblebee,Bombus,lapidarius,lapidarius,Hippocrepis,comosa
Germany,2011,1,low,2,during,2,Honeybee,Apis,mellifera,mellifera,Hippocrepis,comosa
Germany,2011,1,low,2,during,2,Honeybee,Apis,mellifera,mellifera,Hippocrepis,comosa
Germany,2011,1,low,2,during,2,Honeybee,Apis,mellifera,mellifera,Hippocrepis,comosa
