lower guild,upper guild,lower.species,upper.species,fortotals,lower,upper
01PLANT.,02FV.,Ajuga reptans,Rhingia campestris,1.49E+02,01PLANT.Ajuga reptans,02FV.Rhingia campestris
01PLANT.,02FV.,Alliaria petiolata,Simulium sp,4.97E+01,01PLANT.Alliaria petiolata,02FV.Simulium sp
01PLANT.,02FV.,Anthriscus sylvestris,Agriotes pallidulus,1.97E+01,01PLANT.Anthriscus sylvestris,02FV.Agriotes pallidulus
01PLANT.,02FV.,Anthriscus sylvestris,Anaspis maculata,1.97E+01,01PLANT.Anthriscus sylvestris,02FV.Anaspis maculata
01PLANT.,02FV.,Anthriscus sylvestris,Anthocomus fasciatus,3.94E+01,01PLANT.Anthriscus sylvestris,02FV.Anthocomus fasciatus
01PLANT.,02FV.,Anthriscus sylvestris,Bicellaria vana,1.97E+01,01PLANT.Anthriscus sylvestris,02FV.Bicellaria vana
01PLANT.,02FV.,Anthriscus sylvestris,Botanophila striolata,1.97E+01,01PLANT.Anthriscus sylvestris,02FV.Botanophila striolata
01PLANT.,02FV.,Anthriscus sylvestris,Bracon sp,3.94E+01,01PLANT.Anthriscus sylvestris,02FV.Bracon sp
01PLANT.,02FV.,Anthriscus sylvestris,Cantharis lateralis,3.94E+01,01PLANT.Anthriscus sylvestris,02FV.Cantharis lateralis
01PLANT.,02FV.,Anthriscus sylvestris,Chlorops hypostigma,4.52E+02,01PLANT.Anthriscus sylvestris,02FV.Chlorops hypostigma
01PLANT.,02FV.,Anthriscus sylvestris,Chlorops pumilionis,1.90E+01,01PLANT.Anthriscus sylvestris,02FV.Chlorops pumilionis
01PLANT.,02FV.,Anthriscus sylvestris,Dacnusa (maculipes),1.90E+01,01PLANT.Anthriscus sylvestris,02FV.Dacnusa (maculipes)
01PLANT.,02FV.,Anthriscus sylvestris,Delia sp,3.94E+01,01PLANT.Anthriscus sylvestris,02FV.Delia sp
01PLANT.,02FV.,Anthriscus sylvestris,Dicraeus tibialis,1.90E+01,01PLANT.Anthriscus sylvestris,02FV.Dicraeus tibialis
01PLANT.,02FV.,Anthriscus sylvestris,Dolichopus ungulatus,3.94E+01,01PLANT.Anthriscus sylvestris,02FV.Dolichopus ungulatus
01PLANT.,02FV.,Anthriscus sylvestris,Empis (Xanthempis) sp,1.97E+01,01PLANT.Anthriscus sylvestris,02FV.Empis (Xanthempis) sp
01PLANT.,02FV.,Anthriscus sylvestris,Empis caudatula,3.94E+01,01PLANT.Anthriscus sylvestris,02FV.Empis caudatula
01PLANT.,02FV.,Anthriscus sylvestris,Empis livida,7.88E+01,01PLANT.Anthriscus sylvestris,02FV.Empis livida
01PLANT.,02FV.,Anthriscus sylvestris,Empis nigripes,1.18E+02,01PLANT.Anthriscus sylvestris,02FV.Empis nigripes
01PLANT.,02FV.,Anthriscus sylvestris,Endasys sp,3.94E+01,01PLANT.Anthriscus sylvestris,02FV.Endasys sp
01PLANT.,02FV.,Anthriscus sylvestris,Episyrphus balteatus,3.94E+01,01PLANT.Anthriscus sylvestris,02FV.Episyrphus balteatus
01PLANT.,02FV.,Anthriscus sylvestris,Fannia serena,1.97E+01,01PLANT.Anthriscus sylvestris,02FV.Fannia serena
01PLANT.,02FV.,Anthriscus sylvestris,Fannia sp,3.94E+01,01PLANT.Anthriscus sylvestris,02FV.Fannia sp
01PLANT.,02FV.,Anthriscus sylvestris,Helina sp,7.88E+01,01PLANT.Anthriscus sylvestris,02FV.Helina sp
01PLANT.,02FV.,Anthriscus sylvestris,Hylemya vagans,1.97E+01,01PLANT.Anthriscus sylvestris,02FV.Hylemya vagans
01PLANT.,02FV.,Anthriscus sylvestris,Microphor anomalus,1.97E+01,01PLANT.Anthriscus sylvestris,02FV.Microphor anomalus
01PLANT.,02FV.,Anthriscus sylvestris,Miscogaster maculata,1.97E+01,01PLANT.Anthriscus sylvestris,02FV.Miscogaster maculata
01PLANT.,02FV.,Anthriscus sylvestris,Oscinella cariciphila,1.18E+02,01PLANT.Anthriscus sylvestris,02FV.Oscinella cariciphila
01PLANT.,02FV.,Anthriscus sylvestris,Phaenocarpa (ruficeps),3.94E+01,01PLANT.Anthriscus sylvestris,02FV.Phaenocarpa (ruficeps)
01PLANT.,02FV.,Anthriscus sylvestris,Phaonia lasiophthalma,3.94E+01,01PLANT.Anthriscus sylvestris,02FV.Phaonia lasiophthalma
01PLANT.,02FV.,Anthriscus sylvestris,Phasia pusilla,1.97E+01,01PLANT.Anthriscus sylvestris,02FV.Phasia pusilla
01PLANT.,02FV.,Anthriscus sylvestris,Pimpla contemplator,3.94E+01,01PLANT.Anthriscus sylvestris,02FV.Pimpla contemplator
01PLANT.,02FV.,Anthriscus sylvestris,Platycheirus albimanus,1.97E+01,01PLANT.Anthriscus sylvestris,02FV.Platycheirus albimanus
01PLANT.,02FV.,Anthriscus sylvestris,Platycheirus nielseni,1.97E+01,01PLANT.Anthriscus sylvestris,02FV.Platycheirus nielseni
01PLANT.,02FV.,Anthriscus sylvestris,Platypalpus sp,1.90E+01,01PLANT.Anthriscus sylvestris,02FV.Platypalpus sp
01PLANT.,02FV.,Anthriscus sylvestris,Psychodidae sp,1.97E+01,01PLANT.Anthriscus sylvestris,02FV.Psychodidae sp
01PLANT.,02FV.,Anthriscus sylvestris,Psyllidae sp,1.97E+01,01PLANT.Anthriscus sylvestris,02FV.Psyllidae sp
01PLANT.,02FV.,Anthriscus sylvestris,Pteromalidae,1.97E+01,01PLANT.Anthriscus sylvestris,02FV.Pteromalidae
01PLANT.,02FV.,Anthriscus sylvestris,Scathophaga stercoraria,2.93E+02,01PLANT.Anthriscus sylvestris,02FV.Scathophaga stercoraria
01PLANT.,02FV.,Anthriscus sylvestris,Scatopsidae sp,1.97E+01,01PLANT.Anthriscus sylvestris,02FV.Scatopsidae sp
01PLANT.,02FV.,Anthriscus sylvestris,Tenthredopsis nassata,1.97E+01,01PLANT.Anthriscus sylvestris,02FV.Tenthredopsis nassata
01PLANT.,02FV.,Bellis perennis,Empis livida,1.48E+03,01PLANT.Bellis perennis,02FV.Empis livida
01PLANT.,02FV.,Bellis perennis,Oscinella nitidissima,7.40E+02,01PLANT.Bellis perennis,02FV.Oscinella nitidissima
01PLANT.,02FV.,Bellis perennis,Pegoplata aestiva or Adia cinerella,7.40E+02,01PLANT.Bellis perennis,02FV.Pegoplata aestiva or Adia cinerella
01PLANT.,02FV.,Bellis perennis,Scathophaga stercoraria,8.88E+03,01PLANT.Bellis perennis,02FV.Scathophaga stercoraria
01PLANT.,02FV.,Brassica napus,Empis livida,1.49E+02,01PLANT.Brassica napus,02FV.Empis livida
01PLANT.,02FV.,Brassica napus,Neoascia podagrica,4.97E+01,01PLANT.Brassica napus,02FV.Neoascia podagrica
01PLANT.,02FV.,Brassica napus,Syritta pipiens,4.97E+01,01PLANT.Brassica napus,02FV.Syritta pipiens
01PLANT.,02FV.,Capsella bursa-pastoris,Empis livida,7.48E+02,01PLANT.Capsella bursa-pastoris,02FV.Empis livida
01PLANT.,02FV.,Capsella bursa-pastoris,Platycheirus albimanus,7.48E+02,01PLANT.Capsella bursa-pastoris,02FV.Platycheirus albimanus
01PLANT.,02FV.,Capsella bursa-pastoris,Syritta pipiens,7.48E+02,01PLANT.Capsella bursa-pastoris,02FV.Syritta pipiens
01PLANT.,02FV.,Cerastium fontanum,Empis livida,7.46E+02,01PLANT.Cerastium fontanum,02FV.Empis livida
01PLANT.,02FV.,Cerastium fontanum,Neomyia cornicina,6.53E+00,01PLANT.Cerastium fontanum,02FV.Neomyia cornicina
