Date,Transect,Plant species,Bee species,Sex,Max flower width (mm),Predicted NHD (mm),Intertgula distance (mm)
29/06/2011,1,Trifolium pratense,Bombus pascuorum,f,16,10,4.313
29/06/2011,1,Centaurea nigra,Bombus lapidarius,f,28,3.953,4.636
29/06/2011,1,Trifolium repens,Bombus lapidarius,f,15,5.262,3.803
29/06/2011,1,Ranunculus repens,Lasioglossum calceatum,f,25,1,2.08
29/06/2011,1,Trifolium repens,Bombus lapidarius,f,15,5.262,3.53
29/06/2011,1,Centaurea nigra,Bombus terrestris,f,19.5,3.545,5.032
29/06/2011,1,Centaurea nigra,Apis mellifera,f,19.5,3.545,3.322
29/06/2011,1,Centaurea nigra,Bombus lapidarius,f,26.5,3.881,5.05
29/06/2011,1,Centaurea nigra,Bombus lapidarius,m,31.5,4.121,3.733
29/06/2011,1,Centaurea nigra,Bombus vestalis,m,29,4.001,4.696
29/06/2011,1,Centaurea nigra,Bombus lapidarius,f,29,4.001,4.373
29/06/2011,1,Centaurea nigra,Bombus lapidarius,f,20.5,3.593,5.176
29/06/2011,1,Centaurea nigra,Apis mellifera,f,21,3.617,3.332
29/06/2011,1,Centaurea nigra,Andrena flavipes,f,41,4.577,3.039
29/06/2011,1,Centaurea nigra,Apis mellifera,f,21,3.617,3.594
29/06/2011,1,Centaurea nigra,Bombus lapidarius,f,25,3.809,4.364
29/06/2011,1,Centaurea nigra,Apis mellifera,f,29,4.001,3.969
29/06/2011,1,Centaurea nigra,Bombus lapidarius,f,25,3.809,4.805
29/06/2011,1,Centaurea nigra,Bombus lapidarius,m,25,3.809,4.711
29/06/2011,1,Centaurea nigra,Apis mellifera,f,26,3.857,3.963
29/06/2011,1,Lathyrus pratensis,Bombus terrestris,f,28,7.4,5.009
29/06/2011,1,Lathyrus pratensis,Bombus pascuorum,f,32,7.4,4.792
29/06/2011,1,Centaurea nigra,Bombus lapidarius,f,20,3.569,4.423
29/06/2011,1,Centaurea nigra,Bombus lapidarius,f,28.5,3.977,4.066
29/06/2011,1,Ranunculus repens,Lasioglossum malachurum,f,19,1,2.104
29/06/2011,1,Centaurea nigra,Apis mellifera,f,27,3.905,4.183
29/06/2011,1,Centaurea nigra,Lasioglossum malachurum,f,25.5,3.833,1.791
29/06/2011,1,Centaurea nigra,Bombus lapidarius,f,32,4.145,4.276
29/06/2011,1,Centaurea nigra,Bombus lapidarius,f,25,3.809,4.64
29/06/2011,1,Centaurea nigra,Bombus lapidarius,f,21,3.617,4.116
29/06/2011,1,Centaurea nigra,Bombus lapidarius,m,24,3.761,4.589
29/06/2011,1,Centaurea nigra,Bombus lapidarius,f,25,3.809,3.422
29/06/2011,1,Centaurea nigra,Bombus terrestris,m,30.5,4.073,5.224
29/06/2011,1,Centaurea nigra,Bombus lapidarius,f,28,3.953,4.247
29/06/2011,1,Centaurea nigra,Bombus lapidarius,f,24,3.761,4.623
30/06/2011,2,Centaurea nigra,Bombus lapidarius,f,23,3.713,4.307
30/06/2011,2,Hypochaeris radicata,Halictus tumulorum,f,38,1,1.907
30/06/2011,2,Centaurea nigra,Bombus lapidarius,f,28.5,3.977,4.299
30/06/2011,2,Centaurea nigra,Bombus lapidarius,f,24.5,3.785,3.898
30/06/2011,2,Centaurea nigra,Megachile ligniseca,f,20,3.569,5.576
30/06/2011,2,Hypochaeris radicata,Andrena fulvago,f,31,1,2.408
30/06/2011,2,Centaurea nigra,Bombus lapidarius,f,21,3.617,4.162
30/06/2011,2,Hypochaeris radicata,Andrena fulvago,f,24.5,1,2.551
30/06/2011,2,Hypochaeris radicata,Andrena minutula,f,29,1,1.714
30/06/2011,2,Hypochaeris radicata,Bombus lapidarius,f,29.5,1,3.881
30/06/2011,2,Centaurea nigra,Bombus lapidarius,f,24.5,3.785,4.809
30/06/2011,2,Centaurea nigra,Bombus lapidarius,f,28,3.953,4.616
30/06/2011,2,Centaurea nigra,Bombus lapidarius,f,20.5,3.593,4.222
30/06/2011,2,Centaurea nigra,Apis mellifera,f,28.5,3.977,3.509
30/06/2011,2,Centaurea nigra,Lasioglossum malachurum,f,23,3.713,1.919
30/06/2011,2,Centaurea nigra,Bombus lapidarius,f,23,3.713,4.094
30/06/2011,2,Centaurea nigra,Bombus lapidarius,f,25,3.809,4.937
30/06/2011,2,Centaurea nigra,Apis mellifera,f,23,3.713,3.534
30/06/2011,2,Centaurea nigra,Bombus lapidarius,f,23,3.713,4.362
30/06/2011,2,Centaurea nigra,Bombus lapidarius,f,24,3.761,4.196
30/06/2011,2,Centaurea nigra,Andrena flavipes,f,28,3.953,3.296
30/06/2011,2,Centaurea nigra,Bombus lapidarius,f,23,3.713,4.612
30/06/2011,2,Ranunculus repens,Andrena flavipes,f,18,1,3.098
30/06/2011,2,Centaurea nigra,Bombus pascuorum,f,29,4.001,4.339
30/06/2011,2,Centaurea nigra,Bombus lapidarius,f,15.5,3.353,4.118
30/06/2011,2,Centaurea nigra,Bombus lapidarius,f,27.5,3.929,5.21
30/06/2011,2,Centaurea nigra,Apis mellifera,f,19.5,3.545,3.434
30/06/2011,2,Centaurea nigra,Bombus lapidarius,f,23,3.713,4.06
30/06/2011,2,Centaurea nigra,Bombus lapidarius,f,26,3.857,3.995
30/06/2011,2,Centaurea nigra,Apis mellifera,f,20.5,3.593,3.642
30/06/2011,2,Centaurea nigra,Bombus lapidarius,f,24,3.761,4.349
30/06/2011,2,Centaurea nigra,Bombus lucorum,m,23,3.713,5.313
30/06/2011,2,Centaurea nigra,Bombus lapidarius,m,19,3.521,4.742
30/06/2011,2,Centaurea nigra,Andrena flavipes,f,24,3.761,3.351
30/06/2011,2,Centaurea nigra,Bombus lapidarius,f,26,3.857,4.074
30/06/2011,2,Trifolium repens,Andrena ovatula,f,19.5,5.766,2.561
30/06/2011,2,Centaurea nigra,Bombus lapidarius,f,18.5,3.497,4.667
30/06/2011,2,Trifolium repens,Bombus lucorum,f,18.5,5.654,4.257
30/06/2011,2,Centaurea nigra,Bombus lapidarius,f,10.5,3.113,4.113
30/06/2011,2,Centaurea nigra,Apis mellifera,f,26.5,3.881,3.546
30/06/2011,2,Trifolium repens,Bombus lapidarius,f,11.5,4.87,4.365
30/06/2011,2,Trifolium repens,Bombus lapidarius,f,19,5.71,4.249
01/07/2011,3,Centaurea nigra,Bombus lapidarius,f,27,3.905,4.233
01/07/2011,3,Trifolium repens,Bombus pascuorum,f,25,6.382,3.815
01/07/2011,3,Trifolium repens,Andrena wilkella,f,20,5.822,2.835
01/07/2011,3,Trifolium repens,Bombus lapidarius,f,15,5.262,4.438
01/07/2011,3,Centaurea nigra,Bombus lapidarius,f,19.5,3.545,3.925
01/07/2011,3,Trifolium repens,Bombus pascuorum,f,16,5.374,3.766
01/07/2011,3,Ranunculus repens,Lasioglossum malachurum,f,14.5,1,1.814
01/07/2011,3,Centaurea nigra,Bombus lapidarius,f,27,3.905,5.126
01/07/2011,3,Ranunculus repens,Lasioglossum calceatum,f,15.5,1,2.163
01/07/2011,3,Ranunculus repens,Andrena semilaevis,f,19,1,1.873
01/07/2011,3,Centaurea nigra,Bombus lapidarius,f,19.2,3.5306,3.994
01/07/2011,3,Centaurea nigra,Lasioglossum calceatum,f,22.5,3.689,2.206
01/07/2011,3,Centaurea nigra,Bombus lapidarius,f,26,3.857,4.427
01/07/2011,3,Centaurea nigra,Andrena flavipes,f,18,3.473,3.325
01/07/2011,3,Centaurea nigra,Bombus lapidarius,f,14,3.281,4.334
01/07/2011,3,Centaurea nigra,Bombus lapidarius,f,21.5,3.641,3.78
01/07/2011,3,Centaurea nigra,Bombus lapidarius,f,21.5,3.641,4.512
01/07/2011,3,Centaurea nigra,Apis mellifera,f,24,3.761,3.275
01/07/2011,3,Centaurea nigra,Bombus lapidarius,f,22,3.665,4.517
01/07/2011,3,Centaurea nigra,Bombus lapidarius,f,21.5,3.641,3.587
01/07/2011,3,Centaurea nigra,Bombus lapidarius,f,22,3.665,4.283
01/07/2011,3,Centaurea nigra,Bombus lapidarius,f,24,3.761,4.313
01/07/2011,3,Centaurea nigra,Bombus lapidarius,f,21.5,3.641,3.767
01/07/2011,3,Centaurea nigra,Bombus lapidarius,f,20,3.569,4.261
01/07/2011,3,Centaurea nigra,Bombus lapidarius,f,20,3.569,4.464
01/07/2011,3,Centaurea nigra,Bombus lapidarius,f,26,3.857,3.799
01/07/2011,3,Centaurea nigra,Bombus lapidarius,f,21,3.617,4.028
01/07/2011,3,Centaurea nigra,Bombus hortorum,f,29,4.001,6.233
01/07/2011,3,Ranunculus repens,Sphecodes ephippius,m,18,1,1.98
01/07/2011,3,Ranunculus repens,Lasioglossum malachurum,f,17.5,1,1.81
01/07/2011,3,Centaurea nigra,Bombus lapidarius,m,22,3.67,4.49
01/07/2011,3,Centaurea nigra,Andrena flavipes,f,19.5,3.55,3.23
01/07/2011,3,Heracleum sphondylium,Andrena alfkanella,f,51,1,2.54
01/07/2011,3,Centaurea nigra,Apis mellifera,f,25,3.81,3.44
01/07/2011,3,Centaurea nigra,Bombus lapidarius,m,22,3.67,4.79
01/07/2011,3,Centaurea nigra,Bombus lapidarius,m,23,3.71,4.98
01/07/2011,3,Centaurea nigra,Bombus terrestris,m,26.5,3.88,6.42
01/07/2011,3,Centaurea nigra,Apis mellifera,f,18.5,3.5,3.71
01/07/2011,4,Trifolium pratense,Bombus pascuorum,f,19.5,10,4.46
01/07/2011,4,Trifolium repens,Andrena ovatula,f,15.5,5.32,2.02
01/07/2011,4,Ranunculus repens,Lasioglossum malachurum,f,19,1,1.77
01/07/2011,4,Trifolium repens,Andrena dorsata,f,16.5,5.43,2.91
01/07/2011,4,Centaurea nigra,Apis mellifera,f,20.5,3.59,3.63
01/07/2011,4,Trifolium repens,Bombus lapidarius,f,16,5.37,3.77
01/07/2011,4,Centaurea nigra,Megachile ligniseca,f,25,3.81,4.22
01/07/2011,4,Trifolium repens,Bombus lapidarius,f,16.5,5.43,4.86
01/07/2011,4,Trifolium repens,Bombus terrestris,f,19,5.71,4.36
01/07/2011,4,Centaurea nigra,Bombus lapidarius,m,21,3.62,4.39
01/07/2011,4,Centaurea nigra,Apis mellifera,f,21,3.62,3.96
01/07/2011,4,Centaurea nigra,Apis mellifera,f,20,3.57,3.63
01/07/2011,4,Centaurea nigra,Apis mellifera,f,21,3.62,3.4
01/07/2011,4,Centaurea nigra,Lasioglossum calceatum,f,21,3.62,2.39
01/07/2011,4,Centaurea nigra,Apis mellifera,f,25,3.81,3.66
01/07/2011,4,Lathyrus pratensis,Bombus pascuorum,f,10,7.4,4.71
01/07/2011,4,Centaurea nigra,Lasioglossum malachurum,f,20,3.57,2.04
01/07/2011,4,Centaurea nigra,Bombus terrestris,m,20,3.57,5.5
01/07/2011,4,Centaurea nigra,Bombus lapidarius,m,24,3.76,4.95
01/07/2011,4,Centaurea nigra,Lasioglossum calceatum,f,16,3.38,2
01/07/2011,4,Centaurea nigra,Bombus lapidarius,m,19,3.52,4.38
01/07/2011,4,Centaurea nigra,Bombus vestalis,m,22,3.67,4.82
01/07/2011,4,Lathyrus pratensis,Bombus lucorum,f,10,7.4,4.88
04/07/2011,5,Ranunculus repens,Lasioglossum malachurum,f,23,1,1.93
04/07/2011,5,Hypochaeris radicata,Lasioglossum puncticolle,f,26,1,1.92
04/07/2011,5,Centaurea nigra,Apis mellifera,f,24,3.76,3.62
04/07/2011,5,Hypochaeris radicata,Lasioglossum malachurum,f,21.5,1,1.92
04/07/2011,5,Hypochaeris radicata,Bombus lapidarius,f,20.5,1,4.42
04/07/2011,5,Centaurea nigra,Andrena flavipes,f,18.5,3.5,3.27
04/07/2011,5,Centaurea nigra,Lasioglossum calceatum,f,24,3.76,1.97
04/07/2011,5,Cirsium arvense,Bombus lapidarius,f,14,8.45,4.09
04/07/2011,5,Ranunculus repens,Lasioglossum malachurum,f,17,1,1.39
04/07/2011,5,Centaurea nigra,Megachile ligniseca,f,20,3.57,4.79
04/07/2011,5,Centaurea nigra,Apis mellifera,f,8.5,3.02,3.83
04/07/2011,5,Centaurea nigra,Bombus pascuorum,f,19.5,3.55,3.98
04/07/2011,5,Centaurea nigra,Apis mellifera,f,21.5,3.64,3.63
04/07/2011,5,Centaurea nigra,Andrena flavipes,f,20,3.57,3.35
04/07/2011,5,Centaurea nigra,Lasioglossum calceatum,f,21,3.62,2.23
04/07/2011,5,Trifolium repens,Bombus lapidarius,f,13,5.04,4.21
04/07/2011,5,Centaurea nigra,Apis mellifera,f,25,3.81,3.74
04/07/2011,5,Heracleum sphondylium,Andrena minutula,f,64,1,2
04/07/2011,5,Trifolium repens,Lasioglossum malachurum,f,18.5,5.65,2.13
04/07/2011,5,Trifolium repens,Andrena dorsata,f,16,5.37,2.58
04/07/2011,6,Centaurea nigra,Apis mellifera,f,12.5,3.21,3.89
04/07/2011,6,Centaurea nigra,Andrena flavipes,f,19,3.52,3.27
04/07/2011,6,Centaurea nigra,Bombus lapidarius,m,20.5,3.59,5.02
04/07/2011,6,Centaurea nigra,Lasioglossum pauxillum,f,18.5,3.5,1.37
04/07/2011,6,Centaurea nigra,Megachile ligniseca,f,19,3.52,4.83
04/07/2011,6,Centaurea nigra,Bombus lapidarius,m,13.5,3.26,4.26
04/07/2011,6,Centaurea nigra,Apis mellifera,f,17,3.43,3.93
04/07/2011,6,Centaurea nigra,Bombus lapidarius,m,25,3.81,4.78
04/07/2011,6,Centaurea nigra,Apis mellifera,f,24.5,3.79,3.45
04/07/2011,6,Centaurea nigra,Apis mellifera,f,17.5,3.45,3.7
04/07/2011,6,Centaurea nigra,Bombus lapidarius,m,21,3.62,5.21
