"","resource","res.class","res.order","res.family","res.genus","res.species","consumer","con.class","con.order","con.family","con.genus","con.species","res.method","con.method","N.records","link.evidence","source.id"
"1","Leuctra nigra","Insecta","Plecoptera","Leuctridae","Leuctra","nigra","Dinocras cephalotes","Insecta","Plecoptera","Perlidae","Dinocras","cephalotes","genus","exact",12,"observed","10,35"
"2","Leuctra nigra","Insecta","Plecoptera","Leuctridae","Leuctra","nigra","Perla bipunctata","Insecta","Plecoptera","Perlidae","Perla","bipunctata","genus","exact",4,"observed","10,35"
"3","Leuctra nigra","Insecta","Plecoptera","Leuctridae","Leuctra","nigra","Dicranota","Insecta","Diptera","Tipulidae","Dicranota","","exact","exact",10,"observed","10,35"
"4","Leuctra nigra","Insecta","Plecoptera","Leuctridae","Leuctra","nigra","Cottus gobio","Actinoptergii","Scorpaeniformes","Cottidae","Cottus","gobio","genus","exact",1,"observed","10,35"
"5","Leuctra nigra","Insecta","Plecoptera","Leuctridae","Leuctra","nigra","Siphonoperla torrentium","Insecta","Plecoptera","Chloroperlidae","Siphonoperla","torrentium","exact","exact",1,"observed","10,35"
"6","Leuctra nigra","Insecta","Plecoptera","Leuctridae","Leuctra","nigra","Chloroperla tripunctata","Insecta","Plecoptera","Chloroperlidae","Chloroperla","tripunctata","genus","exact",4,"observed","10,35"
"7","Leuctra nigra","Insecta","Plecoptera","Leuctridae","Leuctra","nigra","Hydropsyche angustipennis","Insecta","Trichoptera","Hydropsychidae","Hydropsyche","angustipennis","genus","genus",1,"observed","10,35"
"8","Leuctra nigra","Insecta","Plecoptera","Leuctridae","Leuctra","nigra","Isoperla grammatica","Insecta","Plecoptera","Perlodidae","Isoperla","grammatica","exact","exact",1,"observed","10,35"
"11","Leuctra nigra","Insecta","Plecoptera","Leuctridae","Leuctra","nigra","Plectronemia geniculata","Insecta","Trichoptera","Polycentropodidae","Plectronemia","geniculata","exact","family",36,"observed","10,35"
"12","Leuctra nigra","Insecta","Plecoptera","Leuctridae","Leuctra","nigra","Rhyacophila dorsalis","Insecta","Trichoptera","Rhyacophilidae","Rhyacophila","dorsalis","genus","exact",28,"observed","10,35"
