node,N,Category,Kingdom,Phylum,Class,Order,Family,Genus,Species,Resolved.to,minimum.res.method,minimum.con.method,WHPT
Leuctra geniculata,60,Invertebrate,Animalia,Arthropoda,Insecta,Plecoptera,Leuctridae,Leuctra,geniculata,species,genus,genus,9.9
Leuctra moselyi,83,Invertebrate,Animalia,Arthropoda,Insecta,Plecoptera,Leuctridae,Leuctra,moselyi,species,genus,genus,9.9
Leuctra hippopus,59,Invertebrate,Animalia,Arthropoda,Insecta,Plecoptera,Leuctridae,Leuctra,hippopus,species,genus,genus,9.9
Leuctra nigra,1,Invertebrate,Animalia,Arthropoda,Insecta,Plecoptera,Leuctridae,Leuctra,nigra,species,genus,genus,9.9
Lecutra inermis,38,Invertebrate,Animalia,Arthropoda,Insecta,Plecoptera,Leuctridae,Leuctra,inermis,species,genus,genus,9.9
Amphinemoura sulcicollis,120,Invertebrate,Animalia,Arthropoda,Insecta,Plecoptera,Nemouridae,Amphinemoura,sulcicollis,species,family,family,9.1
Protonemoura meyeri,22,Invertebrate,Animalia,Arthropoda,Insecta,Plecoptera,Nemouridae,Protonemoura,meyeri,species,genus,genus,9.1
Siphonoperla torrentium,4,Invertebrate,Animalia,Arthropoda,Insecta,Plecoptera,Chloroperlidae,Siphonoperla,torrentium,species,genus,genus,12.4
Chloroperla tripunctata,4,Invertebrate,Animalia,Arthropoda,Insecta,Plecoptera,Chloroperlidae,Chloroperla,tripunctata,species,genus,genus,12.4
Dinocras cephalotes,1,Invertebrate,Animalia,Arthropoda,Insecta,Plecoptera,Perlidae,Dinocras,cephalotes,species,genus,genus,12.5
Perla bipunctata,1,Invertebrate,Animalia,Arthropoda,Insecta,Plecoptera,Perlidae,Perla,bipunctata,species,genus,genus,12.5
Isoperla grammatica,6,Invertebrate,Animalia,Arthropoda,Insecta,Plecoptera,Perlodidae,Isoperla,grammatica,species,genus,genus,10.7
Polycentropus flavomaculatus,57,Invertebrate,Animalia,Arthropoda,Insecta,Trichoptera,Polycentropodidae,Polycentropus,flavomaculatus,species,genus,genus,8.6
Plectronemia geniculata,19,Invertebrate,Animalia,Arthropoda,Insecta,Trichoptera,Polycentropodidae,Plectronemia,geniculata,species,family,family,8.6
Hydropsyche pellucidula,26,Invertebrate,Animalia,Arthropoda,Insecta,Trichoptera,Hydropsychidae,Hydropsyche,pellucidula,species,genus,genus,6.6
Hydropsyche siltalai,285,Invertebrate,Animalia,Arthropoda,Insecta,Trichoptera,Hydropsychidae,Hydropsyche,siltalai,species,genus,genus,6.6
Hydropsyche angustipennis,4,Invertebrate,Animalia,Arthropoda,Insecta,Trichoptera,Hydropsychidae,Hydropsyche,angustipennis,species,genus,genus,6.6
Agapetus fuscipes,4,Invertebrate,Animalia,Arthropoda,Insecta,Trichoptera,Glossosomatidae,Agapetus,fuscipes,species,genus,genus,5
Hydroptila,1,Invertebrate,Animalia,Arthropoda,Insecta,Trichoptera,Hydroptilidae,Hydroptila,,genus,genus,genus,6.7
Rhyacophila dorsalis,22,Invertebrate,Animalia,Arthropoda,Insecta,Trichoptera,Rhyacophilidae,Rhyacophila,dorsalis,species,genus,genus,8.3
Mystacides,14,Invertebrate,Animalia,Arthropoda,Insecta,Trichoptera,Leptoceridae,Mystacides,,genus,genus,genus,7.8
Sericostoma personatum,16,Invertebrate,Animalia,Arthropoda,Insecta,Trichoptera,Sericostomatidae,Sericostoma,personatum,species,genus,genus,9.2
Drusus annulatus,9,Invertebrate,Animalia,Arthropoda,Insecta,Trichoptera,Limniphilidae,Drusus,annulatus,species,genus,genus,6.9
Psychomyia pusilla,2,Invertebrate,Animalia,Arthropoda,Insecta,Trichoptera,Psychomyiidae,Psychomyia,pusilla,species,family,family,5.9
Tinodes dives,1,Invertebrate,Animalia,Arthropoda,Insecta,Trichoptera,Psychomyiidae,Tinodes,dives,species,genus,genus,5.9
Lepidostoma hirtum,34,Invertebrate,Animalia,Arthropoda,Insecta,Trichoptera,Lepidostomatidae,Lepidostoma,hirtum,species,genus,genus,10.4
Paraleptophlebia,5,Invertebrate,Animalia,Arthropoda,Insecta,Ephemeroptera,Leptophlebidae,Paraleptophlebia,,genus,genus,genus,8.9
Caenis rivulorum,142,Invertebrate,Animalia,Arthropoda,Insecta,Ephemeroptera,Caenidae,Caenis,rivulorum,species,genus,genus,7.1
Serratella ignita,178,Invertebrate,Animalia,Arthropoda,Insecta,Ephemeroptera,Ephemerellidae,Seretella,ignita,species,genus,genus,7.7
Ephemera danica,1,Invertebrate,Animalia,Arthropoda,Insecta,Ephemeroptera,Ephemeridae,Ephemera,danica,species,genus,genus,9.3
Baetis rhodani,570,Invertebrate,Animalia,Arthropoda,Insecta,Ephemeroptera,Baetidae,Baetis,rhodani,species,genus,genus,5.3
Baetis scambus,78,Invertebrate,Animalia,Arthropoda,Insecta,Ephemeroptera,Baetidae,Baetis,scambus,species,genus,genus,5.3
Alainites muticus,4,Invertebrate,Animalia,Arthropoda,Insecta,Ephemeroptera,Baetidae,Alainites,muticus,species,genus,genus,5.3
Ecdyonurus dispar,3,Invertebrate,Animalia,Arthropoda,Insecta,Ephemeroptera,Heptageniidae,Ecdyonurus,dispar,species,genus,genus,9.8
Ecdyonurus venosus,3,Invertebrate,Animalia,Arthropoda,Insecta,Ephemeroptera,Heptageniidae,Ecdyonurus,venosus,species,genus,genus,9.8
Ecdyonurus torrentis,63,Invertebrate,Animalia,Arthropoda,Insecta,Ephemeroptera,Heptageniidae,Ecdyonurus,torrentis,species,genus,genus,9.8
Rhithrogena semicolorata,74,Invertebrate,Animalia,Arthropoda,Insecta,Ephemeroptera,Heptageniidae,Rhithrogena,semicolorata,species,genus,genus,9.8
Heptagenia sulphurea,6,Invertebrate,Animalia,Arthropoda,Insecta,Ephemeroptera,Heptageniidae,Heptagenia,sulphurea,species,genus,genus,9.8
Heptagenia lateralis,1,Invertebrate,Animalia,Arthropoda,Insecta,Ephemeroptera,Heptageniidae,Heptagenia,lateralis,species,genus,genus,9.8
Elmis aenea,80,Invertebrate,Animalia,Arthropoda,Insecta,Coleoptera,Elmidae,Elmis,aenea,species,genus,genus,6.4
