"","resource","res.class","res.order","res.family","res.genus","res.species","consumer","con.class","con.order","con.family","con.genus","con.species","res.method","con.method","N.records","link.evidence","source.id"
"3","Leuctra nigra","Insecta","Plecoptera","Leuctridae","Leuctra","nigra","Cottus gobio","Actinoptergii","Scorpaeniformes","Cottidae","Cottus","gobio","genus","exact",1,"observed - feeding trial,observed - field; gut/stomach analysis; published account","11,15"
"4","Leuctra nigra","Insecta","Plecoptera","Leuctridae","Leuctra","nigra","Polycentropus kingi","Insecta","Trichoptera","Polycentropodidae","Polycentropus","kingi","genus","genus",6,"observed - feeding trial,observed - field; gut/stomach analysis; published account","11,15"
"5","Leuctra nigra","Insecta","Plecoptera","Leuctridae","Leuctra","nigra","Athripsodes","Insecta","Trichoptera","Leptoceridae","Athripsodes","","genus","exact",1,"observed - feeding trial,observed - field; gut/stomach analysis; published account","11,15"
"6","Leuctra nigra","Insecta","Plecoptera","Leuctridae","Leuctra","nigra","Pedicia","Insecta","Diptera","Pediciidae","Pedicia","","exact","exact",3,"observed - feeding trial,observed - field; gut/stomach analysis; published account","11,15"
"8","Leuctra nigra","Insecta","Plecoptera","Leuctridae","Leuctra","nigra","Perlodes microcephala","Insecta","Plecoptera","Perlodidae","Perlodes","microcephala","genus","genus",28,"observed - feeding trial,observed - field; gut/stomach analysis; published account","11,15"
"9","Leuctra nigra","Insecta","Plecoptera","Leuctridae","Leuctra","nigra","Hydropsyche pellucidula","Insecta","Trichoptera","Hydropsychidae","Hydropsyche","pellucidula","genus","genus",1,"observed - feeding trial,observed - field; gut/stomach analysis; published account","11,15"
"10","Leuctra nigra","Insecta","Plecoptera","Leuctridae","Leuctra","nigra","Dicranota","Insecta","Diptera","Tipulidae","Dicranota","","exact","exact",10,"observed - feeding trial,observed - field; gut/stomach analysis; published account","11,15"
"11","Leuctra nigra","Insecta","Plecoptera","Leuctridae","Leuctra","nigra","Plectronemia geniculata","Insecta","Trichoptera","Polycentropodidae","Plectronemia","geniculata","exact","family",36,"observed - feeding trial,observed - field; gut/stomach analysis; published account","11,15"
"12","Leuctra nigra","Insecta","Plecoptera","Leuctridae","Leuctra","nigra","Isoperla grammatica","Insecta","Plecoptera","Perlodidae","Isoperla","grammatica","exact","exact",1,"observed - feeding trial,observed - field; gut/stomach analysis; published account","11,15"
"13","Leuctra nigra","Insecta","Plecoptera","Leuctridae","Leuctra","nigra","Hydropsyche siltalai","Insecta","Trichoptera","Hydropsychidae","Hydropsyche","siltalai","genus","exact",1,"observed - feeding trial,observed - field; gut/stomach analysis; published account","11,15"
"15","Leuctra nigra","Insecta","Plecoptera","Leuctridae","Leuctra","nigra","Polycentropus flavomaculatus","Insecta","Trichoptera","Polycentropodidae","Polycentropus","flavomaculatus","genus","exact",6,"observed - feeding trial,observed - field; gut/stomach analysis; published account","11,15"
"16","Leuctra nigra","Insecta","Plecoptera","Leuctridae","Leuctra","nigra","Chloroperla tripunctata","Insecta","Plecoptera","Chloroperlidae","Chloroperla","tripunctata","genus","exact",4,"observed - feeding trial,observed - field; gut/stomach analysis; published account","11,15"
"17","Leuctra nigra","Insecta","Plecoptera","Leuctridae","Leuctra","nigra","Rhyacophila dorsalis","Insecta","Trichoptera","Rhyacophilidae","Rhyacophila","dorsalis","genus","exact",28,"observed - feeding trial,observed - field; gut/stomach analysis; published account","11,15"
"18","Leuctra nigra","Insecta","Plecoptera","Leuctridae","Leuctra","nigra","Gammarus pulex","Crustacea","Amphipoda","Gammaridae","Gammarus","pulex","genus","exact",1,"observed - feeding trial,observed - field; gut/stomach analysis; published account","11,15"
"19","Leuctra nigra","Insecta","Plecoptera","Leuctridae","Leuctra","nigra","Siphonoperla torrentium","Insecta","Plecoptera","Chloroperlidae","Siphonoperla","torrentium","exact","exact",1,"observed - feeding trial,observed - field; gut/stomach analysis; published account","11,15"
"23","Nemoura avicularis","Insecta","Plecoptera","Nemouridae","Nemoura","avicularis","Polycentropus kingi","Insecta","Trichoptera","Polycentropodidae","Polycentropus","kingi","genus","genus",3,"observed - feeding trial,observed - field; gut/stomach analysis; published account","11,15"
"25","Nemoura avicularis","Insecta","Plecoptera","Nemouridae","Nemoura","avicularis","Perlodes microcephala","Insecta","Plecoptera","Perlodidae","Perlodes","microcephala","genus","genus",1,"observed - feeding trial,observed - field; gut/stomach analysis; published account","11,15"
"28","Nemoura avicularis","Insecta","Plecoptera","Nemouridae","Nemoura","avicularis","Plectronemia geniculata","Insecta","Trichoptera","Polycentropodidae","Plectronemia","geniculata","genus","family",5,"observed - feeding trial,observed - field; gut/stomach analysis; published account","11,15"
"29","Nemoura avicularis","Insecta","Plecoptera","Nemouridae","Nemoura","avicularis","Isoperla grammatica","Insecta","Plecoptera","Perlodidae","Isoperla","grammatica","genus","exact",2,"observed - feeding trial,observed - field; gut/stomach analysis; published account","11,15"
"31","Nemoura avicularis","Insecta","Plecoptera","Nemouridae","Nemoura","avicularis","Polycentropus flavomaculatus","Insecta","Trichoptera","Polycentropodidae","Polycentropus","flavomaculatus","genus","exact",3,"observed - feeding trial,observed - field; gut/stomach analysis; published account","11,15"
"33","Nemoura avicularis","Insecta","Plecoptera","Nemouridae","Nemoura","avicularis","Rhyacophila dorsalis","Insecta","Trichoptera","Rhyacophilidae","Rhyacophila","dorsalis","genus","exact",2,"observed - feeding trial,observed - field; gut/stomach analysis; published account","11,15"
"34","Nemoura avicularis","Insecta","Plecoptera","Nemouridae","Nemoura","avicularis","Siphonoperla torrentium","Insecta","Plecoptera","Chloroperlidae","Siphonoperla","torrentium","genus","exact",2,"observed - feeding trial,observed - field; gut/stomach analysis; published account","11,15"
"44","Limnephilus","Insecta","Trichoptera","Limniphilidae","Limnephilus","","Polycentropus kingi","Insecta","Trichoptera","Polycentropodidae","Polycentropus","kingi","exact","genus",1,"observed - feeding trial,observed - field; gut/stomach analysis; published account","11,15"
"46","Limnephilus","Insecta","Trichoptera","Limniphilidae","Limnephilus","","Plectronemia geniculata","Insecta","Trichoptera","Polycentropodidae","Plectronemia","geniculata","exact","family",1,"observed - feeding trial,observed - field; gut/stomach analysis; published account","11,15"
"47","Limnephilus","Insecta","Trichoptera","Limniphilidae","Limnephilus","","Polycentropus flavomaculatus","Insecta","Trichoptera","Polycentropodidae","Polycentropus","flavomaculatus","exact","genus",1,"observed - feeding trial,observed - field; gut/stomach analysis; published account","11,15"
"48","Psychomyia pusilla","Insecta","Trichoptera","Psychomyiidae","Psychomyia","pusilla","Erpobdella testacea","Clitellata","Hirudinida","Erpobdellidae","Erpobdella","testacea","family","genus",1,"observed - feeding trial,observed - field; gut/stomach analysis; published account","11,15"
"49","Psychomyia pusilla","Insecta","Trichoptera","Psychomyiidae","Psychomyia","pusilla","Erpobdella octoculata","Clitellata","Hirudinida","Erpobdellidae","Erpobdella","octoculata","family","exact",1,"observed - feeding trial,observed - field; gut/stomach analysis; published account","11,15"
