node,N,Category,Kingdom,Phylum,Class,Order,Family,Genus,Species,Resolved.to,minimum.res.method,minimum.con.method,WHPT
Leuctra geniculata,33,Invertebrate,Animalia,Arthropoda,Insecta,Plecoptera,Leuctridae,Leuctra,geniculata,species,genus,genus,9.9
Leuctra moselyi,45,Invertebrate,Animalia,Arthropoda,Insecta,Plecoptera,Leuctridae,Leuctra,moselyi,species,genus,genus,9.9
Leuctra hippopus,11,Invertebrate,Animalia,Arthropoda,Insecta,Plecoptera,Leuctridae,Leuctra,hippopus,species,genus,genus,9.9
Leuctra nigra,1,Invertebrate,Animalia,Arthropoda,Insecta,Plecoptera,Leuctridae,Leuctra,nigra,species,genus,genus,9.9
Lecutra inermis,14,Invertebrate,Animalia,Arthropoda,Insecta,Plecoptera,Leuctridae,Leuctra,inermis,species,genus,genus,9.9
Nemoura cambrica,3,Invertebrate,Animalia,Arthropoda,Insecta,Plecoptera,Nemouridae,Nemoura,cambrica,species,genus,genus,9.1
Nemoura avicularis,1,Invertebrate,Animalia,Arthropoda,Insecta,Plecoptera,Nemouridae,Nemoura,avicularis,species,genus,genus,9.1
Protonemoura meyeri,19,Invertebrate,Animalia,Arthropoda,Insecta,Plecoptera,Nemouridae,Protonemoura,meyeri,species,genus,genus,9.1
Brachyptera risi,2,Invertebrate,Animalia,Arthropoda,Insecta,Plecoptera,Taniopterygidae,Brachyptera,risi,species,genus,genus,10.8
Siphonoperla torrentium,40,Invertebrate,Animalia,Arthropoda,Insecta,Plecoptera,Chloroperlidae,Siphonoperla,torrentium,species,genus,genus,12.4
Chloroperla tripunctata,34,Invertebrate,Animalia,Arthropoda,Insecta,Plecoptera,Chloroperlidae,Chloroperla,tripunctata,species,genus,genus,12.4
Isoperla grammatica,19,Invertebrate,Animalia,Arthropoda,Insecta,Plecoptera,Perlodidae,Isoperla,grammatica,species,genus,genus,10.7
Perlodes microcephala,3,Invertebrate,Animalia,Arthropoda,Insecta,Plecoptera,Perlodidae,Perlodes,microcephala,species,genus,genus,10.7
Diura bicaudata,1,Invertebrate,Animalia,Arthropoda,Insecta,Plecoptera,Perlodidae,Diura,bicaudata,species,genus,genus,10.7
Polycentropus kingi,2,Invertebrate,Animalia,Arthropoda,Insecta,Trichoptera,Polycentropodidae,Polycentropus,kingi,species,genus,genus,8.6
Polycentropus flavomaculatus,24,Invertebrate,Animalia,Arthropoda,Insecta,Trichoptera,Polycentropodidae,Polycentropus,flavomaculatus,species,genus,genus,8.6
Plectronemia geniculata,6,Invertebrate,Animalia,Arthropoda,Insecta,Trichoptera,Polycentropodidae,Plectronemia,geniculata,species,family,family,8.6
Hydropsyche pellucidula,3,Invertebrate,Animalia,Arthropoda,Insecta,Trichoptera,Hydropsychidae,Hydropsyche,pellucidula,species,genus,genus,6.6
Hydropsyche siltalai,23,Invertebrate,Animalia,Arthropoda,Insecta,Trichoptera,Hydropsychidae,Hydropsyche,siltalai,species,genus,genus,6.6
Agapetus fuscipes,83,Invertebrate,Animalia,Arthropoda,Insecta,Trichoptera,Glossosomatidae,Agapetus,fuscipes,species,genus,genus,5
